nome_fantasia,slug,inicio_atividades,porte_empresa,nome_cidade,sigla_uf,populacao_cidade,latitude_cidade,longitude_cidade,dist_1,dist_2,dist_3,dist_4
A A P R,a-a-p-r,27/11/1998,5,Ilhéus,BA,157639,-14.793,-39.046,246KM,281KM,211KM,193KM
A & J CARGAS,a-j-cargas,16/08/2001,1,Simões Filho,BA,137117,-12.7866,-38.4029,13KM,84KM,23KM,349KM
A & B RECICLAGEM,a-b-reciclagem,02/09/2009,1,Simões Filho,BA,137117,-12.7866,-38.4029,13KM,84KM,23KM,349KM
A B IMPORTADOS,a-b-importados,01/04/1998,1,Senhor do Bonfim,BA,79813,-10.4594,-40.1865,321KM,241KM,334KM,495KM
A & L MAGAZINE,a-l-magazine,02/02/1998,1,Condeúba,BA,17113,-14.9022,-41.9718,465KM,439KM,433KM,121KM
A A BRITO REPRESENTACOES DE MATERIAL DE CONSTRUCOES,a-a-brito-representacoes-de-material-de-construcoes,03/03/2008,1,Seabra,BA,44370,-12.4169,-41.7722,375KM,305KM,360KM,290KM
A BENCAO,a-bencao,18/08/2004,5,Camaçari,BA,309208,-12.6996,-38.3263,0KM,85KM,36KM,362KM
A BARATINHA,a-baratinha,02/08/2007,1,Itaeté,BA,16164,-12.9831,-40.9677,288KM,232KM,267KM,209KM
A BAHIA,a-bahia,17/04/2001,1,Mascote,BA,13619,-15.5542,-39.3016,335KM,367KM,300KM,183KM
A BARATINHA CONFECCOES,a-baratinha-confeccoes,31/10/2005,1,Itabuna,BA,214123,-14.7876,-39.2781,254KM,282KM,219KM,169KM
A BICICLETA,a-bicicleta,30/06/1992,1,Camaçari,BA,309208,-12.6996,-38.3263,0KM,85KM,36KM,362KM
A BIOQUIMIKA FARMACIA DE MANIPULACAO,a-bioquimika-farmacia-de-manipulacao,21/06/2005,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
A C A F A D,a-c-a-f-a-d,17/05/1999,5,Tucano,BA,50903,-10.9584,-38.7894,200KM,147KM,226KM,487KM
A C B C,a-c-b-c,26/04/1999,5,Bonito,BA,16999,-11.9668,-41.2647,329KM,252KM,320KM,325KM
A C ATACADO DE CIMENTO,a-c-atacado-de-cimento,11/09/2009,1,Xique-Xique,BA,46562,-10.823,-42.7245,521KM,439KM,516KM,492KM
A C C,a-c-c,22/05/2001,5,Serrinha,BA,81693,-11.6584,-39.01,137KM,68KM,156KM,407KM
A C C,a-c-c,27/12/1995,5,Retirolândia,BA,14588,-11.4832,-39.4234,180KM,100KM,193KM,406KM
A C M,a-c-m,06/12/1996,5,Ibotirama,BA,27076,-12.1779,-43.2167,534KM,462KM,519KM,393KM
A C P ENGENHARIA,a-c-p-engenharia,19/01/1998,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
A CACULA CONFECCOES,a-cacula-confeccoes,10/05/1985,1,Jequié,BA,156277,-13.8509,-40.0877,230KM,214KM,198KM,139KM
A CAMPONESA,a-camponesa,15/08/2008,1,Souto Soares,BA,17118,-12.088,-41.6427,366KM,291KM,354KM,320KM
A CAMPONESA,a-camponesa,29/07/2002,3,Valença,BA,97873,-13.3669,-39.073,110KM,123KM,76KM,253KM
A CANTAINA,a-cantaina,26/05/2014,1,Juazeiro,BA,219544,-9.41622,-40.5033,435KM,358KM,451KM,607KM
A CASA DO CRIADOR,a-casa-do-criador,27/10/2005,1,Capim Grosso,BA,31055,-11.3797,-40.0089,234KM,150KM,241KM,397KM
A CENTRAL COMERCIO E SERVICOS,a-central-comercio-e-servicos,29/01/2010,1,Formosa do Rio Preto,BA,26111,-11.0328,-45.193,768KM,690KM,757KM,632KM
A COMERCIAL JOIAS,a-comercial-joias,19/09/1973,1,Brumado,BA,67468,-14.2021,-41.6696,399KM,364KM,370KM,115KM
A COMUNIDADE RESTAURANDO VIDAS,a-comunidade-restaurando-vidas,07/03/2012,5,Vitória da Conquista,BA,343643,-14.8615,-40.8442,364KM,353KM,330KM,0KM
A COMPAT,a-compat,18/06/2001,5,Jacobina,BA,80749,-11.1812,-40.5117,291KM,207KM,295KM,411KM
A D C A S S Q,a-d-c-a-s-s-q,30/11/2005,5,Sítio do Quinto,BA,9431,-10.3545,-38.2213,261KM,227KM,293KM,575KM
A CONQUISTADORA,a-conquistadora,12/07/1982,1,Gongogi,BA,6852,-14.3195,-39.469,219KM,235KM,183KM,160KM
A CONSTRUTORA,a-construtora,24/09/2009,3,Conceição do Jacuípe,BA,33631,-12.3268,-38.7684,63KM,23KM,77KM,359KM
A DISBAL,a-disbal,16/08/1994,5,Várzea da Roça,BA,14135,-11.6005,-40.1328,231KM,147KM,233KM,371KM
A CONSTRUCENTER METALURGICA,a-construcenter-metalurgica,25/09/1986,1,Feira de Santana,BA,624107,-12.2664,-38.9663,84KM,0KM,93KM,352KM
A F CVONSTRUCOES,a-f-cvonstrucoes,05/07/2010,1,Araci,BA,54903,-11.3253,-38.9584,167KM,105KM,190KM,442KM
A F MATERIAIS DE CONSTRUCAO,a-f-materiais-de-construcao,10/09/2009,1,Brumado,BA,67468,-14.2021,-41.6696,399KM,364KM,370KM,115KM
A F P M M,a-f-p-m-m,06/06/1984,5,Mairi,BA,18535,-11.7107,-40.1437,226KM,142KM,227KM,358KM
A FAZENDINHA PRODUTOS VETERINARIOS,a-fazendinha-produtos-veterinarios,10/10/1994,1,Entre Rios,BA,42014,-11.9392,-38.0871,88KM,102KM,123KM,440KM
A E L COMERCIO E SERVICOS,a-e-l-comercio-e-servicos,18/05/2010,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
A FITA CONFECCOES,a-fita-confeccoes,06/07/2007,1,Feira de Santana,BA,624107,-12.2664,-38.9663,84KM,0KM,93KM,352KM
A FORMULA,a-formula,06/07/2004,3,Feira de Santana,BA,624107,-12.2664,-38.9663,84KM,0KM,93KM,352KM
A FORMULA,a-formula,09/11/2001,3,Ilhéus,BA,157639,-14.793,-39.046,246KM,281KM,211KM,193KM
A FORMULA,a-formula,22/08/2007,3,Jacobina,BA,80749,-11.1812,-40.5117,291KM,207KM,295KM,411KM
A FORMULA,a-formula,21/10/1988,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
A G COMERCIAL DE ALIMENTOS E BEBIDAS,a-g-comercial-de-alimentos-e-bebidas,01/02/2002,1,São Francisco do Conde,BA,40664,-12.6183,-38.6786,39KM,50KM,44KM,341KM
A FUNERARIA,a-funeraria,01/02/1977,1,Valença,BA,97873,-13.3669,-39.073,110KM,123KM,76KM,253KM
A FEIRITA DISTRIBUIDORA,a-feirita-distribuidora,13/01/2000,3,São Gonçalo dos Campos,BA,38315,-12.4331,-38.9663,75KM,19KM,78KM,337KM
A G SERVICOS,a-g-servicos,25/05/2010,1,Ilhéus,BA,157639,-14.793,-39.046,246KM,281KM,211KM,193KM
A FORTIORI,a-fortiori,03/09/1993,3,Caetité,BA,51184,-14.0684,-42.4861,476KM,432KM,449KM,197KM
A GRACIOSA,a-graciosa,18/12/2009,1,Barreiras,BA,158432,-12.1439,-44.9968,726KM,655KM,710KM,539KM
A G MELLO REPRESENTACOES,a-g-mello-representacoes,21/06/2010,1,Itabuna,BA,214123,-14.7876,-39.2781,254KM,282KM,219KM,169KM
A GURILANDIA,a-gurilandia,19/01/1994,1,Alagoinhas,BA,153023,-12.1335,-38.4208,64KM,61KM,94KM,400KM
A IDEAL MODAS,a-ideal-modas,01/02/1993,3,Itapetinga,BA,77408,-15.2475,-40.2482,352KM,360KM,316KM,77KM
A L MERCADINHO,a-l-mercadinho,03/03/2010,1,Almadina,BA,5273,-14.7089,-39.6415,265KM,281KM,229KM,130KM
A J REPRESENTACOES,a-j-representacoes,14/05/1992,1,Vitória da Conquista,BA,343643,-14.8615,-40.8442,364KM,353KM,330KM,0KM
A L S CELEULARES,a-l-s-celeulares,14/10/2008,1,Feira de Santana,BA,624107,-12.2664,-38.9663,84KM,0KM,93KM,352KM
A IGREJA EM BARREIRAS,a-igreja-em-barreiras,15/12/1998,5,Barreiras,BA,158432,-12.1439,-44.9968,726KM,655KM,710KM,539KM
A M K,a-m-k,09/02/1994,5,Brejões,BA,14155,-13.1039,-39.7988,166KM,130KM,141KM,225KM
A M E,a-m-e,24/10/2003,5,Jeremoabo,BA,40832,-10.0685,-38.3471,293KM,253KM,323KM,597KM
A M V M,a-m-v-m,03/09/1990,5,São Francisco do Conde,BA,40664,-12.6183,-38.6786,39KM,50KM,44KM,341KM
A M A,a-m-a,10/03/1988,5,Conceição do Coité,BA,67394,-11.56,-39.2808,164KM,86KM,178KM,404KM
A M MATERIAL DE CONSTRUCAO,a-m-material-de-construcao,17/01/1992,1,Simões Filho,BA,137117,-12.7866,-38.4029,13KM,84KM,23KM,349KM
A MIRASSOL MATERIAIS DE CONSTRUCAO,a-mirassol-materiais-de-construcao,22/09/1993,1,Guanambi,BA,85353,-14.2231,-42.7799,512KM,468KM,484KM,220KM
A MINEIRINHA,a-mineirinha,01/12/1997,3,Mucugê,BA,8725,-13.0053,-41.3703,332KM,274KM,311KM,214KM
A MISCELANIA ARMARINHO,a-miscelania-armarinho,06/02/1991,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
A L O S SERVICOS,a-l-o-s-servicos,25/01/2008,1,Araci,BA,54903,-11.3253,-38.9584,167KM,105KM,190KM,442KM
A MONARA,a-monara,01/02/1989,1,Gandu,BA,32778,-13.7441,-39.4747,170KM,173KM,136KM,193KM
A NONA,a-nona,17/02/2004,3,Feira de Santana,BA,624107,-12.2664,-38.9663,84KM,0KM,93KM,352KM
A NATURAL,a-natural,08/03/2001,1,Capim Grosso,BA,31055,-11.3797,-40.0089,234KM,150KM,241KM,397KM
A P M (ASSOCIACAO DE PAIS E MESTRES DAS ESCOLAS,a-p-m-associacao-de-pais-e-mestres-das-escolas,13/10/2003,5,Nova Ibiá,BA,6518,-13.812,-39.6182,187KM,186KM,153KM,176KM
A NOSSA DENTAL,a-nossa-dental,09/08/2001,1,Itabuna,BA,214123,-14.7876,-39.2781,254KM,282KM,219KM,169KM
A P P DE LEITE DE PALMEIRA E REGIAO,a-p-p-de-leite-de-palmeira-e-regiao,11/12/2007,5,Miguel Calmon,BA,25771,-11.4299,-40.6031,284KM,201KM,285KM,382KM
A P P ASSOCIACAO DE PAIS E PROFESSORES,a-p-p-associacao-de-pais-e-professores,28/04/1999,5,Floresta Azul,BA,10525,-14.8629,-39.6579,281KM,298KM,245KM,127KM
A P P R V - ASSOCIACAO,a-p-p-r-v-associacao,20/05/2007,5,Catu,BA,55222,-12.3513,-38.3791,39KM,64KM,70KM,385KM
A PEDRA MISSELANIA,a-pedra-misselania,10/11/1987,1,Santa Cruz da Vitória,BA,6241,-14.964,-39.8115,299KM,314KM,263KM,112KM
A PARCERIA CONSULT LTDA,a-parceria-consult-ltda,30/01/2002,1,Ilhéus,BA,157639,-14.793,-39.046,246KM,281KM,211KM,193KM
A PANELA,a-panela,20/12/2002,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
A POPULAR,a-popular,11/09/2001,1,Itajuípe,BA,20309,-14.6788,-39.3698,247KM,272KM,212KM,160KM
A POPULAR,a-popular,02/01/1997,1,Itamaraju,BA,64423,-17.0378,-39.5386,500KM,534KM,466KM,280KM
A PRIMORDIAL,a-primordial,22/11/1977,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
A PRINCIPAL DOS TECIDOS,a-principal-dos-tecidos,22/02/1994,3,Senhor do Bonfim,BA,79813,-10.4594,-40.1865,321KM,241KM,334KM,495KM
A PREDILETA,a-predileta,09/01/1986,1,Itaberaba,BA,64795,-12.5242,-40.3059,216KM,148KM,202KM,266KM
A ROCA,a-roca,27/01/1987,1,Ubaitaba,BA,18647,-14.303,-39.3222,208KM,230KM,173KM,175KM
A PONTUAL,a-pontual,09/10/1986,1,Iraquara,BA,25728,-12.2429,-41.6155,360KM,288KM,347KM,303KM
A R C REPRESENTACOES,a-r-c-representacoes,08/04/1992,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
A S A MONTAGEM INDUSTRIAL,a-s-a-montagem-industrial,29/11/1999,5,Camaçari,BA,309208,-12.6996,-38.3263,0KM,85KM,36KM,362KM
A S CONSTRUCOES,a-s-construcoes,28/09/1979,5,Feira de Santana,BA,624107,-12.2664,-38.9663,84KM,0KM,93KM,352KM
A S ANDRESA DE SA FOTO & IMAGEM DIGITAL,a-s-andresa-de-sa-foto-imagem-digital,02/06/2008,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
A S CO B E C A N,a-s-co-b-e-c-a-n,29/08/2011,5,Biritinga,BA,15989,-11.6072,-38.8051,132KM,75KM,155KM,423KM
A S CONSTRUTORA,a-s-construtora,30/03/2012,5,Santana,BA,26792,-12.9792,-44.0506,622KM,558KM,601KM,403KM
A SORTE E SUA,a-sorte-e-sua,18/08/2004,1,Canudos,BA,16832,-9.90014,-39.1471,324KM,264KM,349KM,581KM
A S C O M,a-s-c-o-m,06/05/1988,5,Barro Alto,BA,15171,-11.7605,-41.9054,402KM,324KM,393KM,363KM
A TERAPEUTICA,a-terapeutica,18/06/1998,3,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
A SERTANEJA,a-sertaneja,05/09/1983,3,Itaberaba,BA,64795,-12.5242,-40.3059,216KM,148KM,202KM,266KM
A SIMPATIA,a-simpatia,10/06/1988,5,Lajedinho,BA,3735,-12.3529,-40.9048,282KM,211KM,269KM,279KM
A S F L A M,a-s-f-l-a-m,08/08/2003,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
A SOLUCAO,a-solucao,11/02/1999,3,Feira de Santana,BA,624107,-12.2664,-38.9663,84KM,0KM,93KM,352KM
A SOS MATERIAIS HOSPITALARES,a-sos-materiais-hospitalares,27/03/2006,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
A T R I B COMERCIO E SERVICOS,a-t-r-i-b-comercio-e-servicos,07/03/2002,1,Serrinha,BA,81693,-11.6584,-39.01,137KM,68KM,156KM,407KM
A U C B,a-u-c-b,05/05/2011,5,Bonito,BA,16999,-11.9668,-41.2647,329KM,252KM,320KM,325KM
A VITORIA,a-vitoria,10/03/2005,1,Feira de Santana,BA,624107,-12.2664,-38.9663,84KM,0KM,93KM,352KM
A Z CALCADOS,a-z-calcados,20/09/2004,1,Ibicoara,BA,19990,-13.4059,-41.284,330KM,282KM,305KM,169KM
A-ASOCOPO,a-asocopo,23/05/1997,5,Santana,BA,26792,-12.9792,-44.0506,622KM,558KM,601KM,403KM
A TRIBO,a-tribo,31/08/2009,3,Feira de Santana,BA,624107,-12.2664,-38.9663,84KM,0KM,93KM,352KM
A. K. C. V.,a-k-c-v,15/11/1999,5,Valente,BA,29111,-11.4062,-39.457,189KM,110KM,203KM,412KM
A. L. DISTRIBUIDORA,a-l-distribuidora,19/05/2004,1,Retirolândia,BA,14588,-11.4832,-39.4234,180KM,100KM,193KM,406KM
A. L. B. A. CONFECCOES,a-l-b-a-confeccoes,03/12/2010,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
A. S. EMPREENDIMENTOS,a-s-empreendimentos,14/12/1995,3,Tanhaçu,BA,20383,-14.0197,-41.2473,349KM,315KM,320KM,103KM
A. SA TOUR,a-sa-tour,30/06/1999,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
A.B.C.P.A.S.N,abcpasn,13/10/2009,5,Araci,BA,54903,-11.3253,-38.9584,167KM,105KM,190KM,442KM
A. J. DISTRIBUIDORA,a-j-distribuidora,11/06/2012,1,Irecê,BA,74050,-11.3033,-41.8535,413KM,331KM,408KM,410KM
A. M. E.,a-m-e,08/04/2011,5,Cruz das Almas,BA,63923,-12.6675,-39.1008,84KM,47KM,73KM,308KM
A.B.R.C.J.,abrcj,23/08/1999,5,Teofilândia,BA,22590,-11.4827,-38.9913,153KM,87KM,174KM,425KM
A. V. MEDICINA,a-v-medicina,17/05/2010,3,Santo Antônio de Jesus,BA,103204,-12.9614,-39.2584,105KM,84KM,82KM,271KM
A.C.A.M.S,acams,22/08/2000,5,Juazeiro,BA,219544,-9.41622,-40.5033,435KM,358KM,451KM,607KM
A.C.M.,acm,02/03/1998,5,Retirolândia,BA,14588,-11.4832,-39.4234,180KM,100KM,193KM,406KM
A.C.C,acc,01/10/1998,5,Retirolândia,BA,14588,-11.4832,-39.4234,180KM,100KM,193KM,406KM
A.C. TECH,ac-tech,27/04/2007,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
A.C.R.P,acrp,20/08/1999,5,Tucano,BA,50903,-10.9584,-38.7894,200KM,147KM,226KM,487KM
A.D.L. ASSOCIACAO DESPORTIVA LUSACA,adl-associacao-desportiva-lusaca,10/09/2007,5,Dias d'Ávila,BA,83705,-12.6187,-38.2926,10KM,83KM,45KM,371KM
A.C.REPRESENTACOES,acrepresentacoes,20/09/2002,1,Alagoinhas,BA,153023,-12.1335,-38.4208,64KM,61KM,94KM,400KM
A.F.F. REPRESENTACOES DE PRODUTOS ALIMENTICIOS LTDA,aff-representacoes-de-produtos-alimenticios-ltda,18/07/2007,1,Cipó,BA,17402,-11.1032,-38.5179,179KM,138KM,208KM,487KM
A.C.M.D.I,acmdi,22/06/2011,5,Mirante,BA,8264,-14.2385,-40.7718,316KM,294KM,284KM,70KM
A.D.U.R.,adur,24/05/2005,5,Barra,BA,54225,-11.0859,-43.1459,553KM,473KM,545KM,487KM
A.M. MATERIAIS DE CONSTRUCAO,am-materiais-de-construcao,29/03/2011,1,Camaçari,BA,309208,-12.6996,-38.3263,0KM,85KM,36KM,362KM
A.M.J.,amj,13/04/1997,5,Ubaíra,BA,19860,-13.2714,-39.666,159KM,135KM,131KM,217KM
A.M.M,amm,19/12/1997,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
A.C.U.T,acut,08/05/2008,5,Lapão,BA,27323,-11.3851,-41.8286,407KM,326KM,401KM,401KM
A.N. PROCESSAMENTO DE DADOS,an-processamento-de-dados,31/08/1998,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
A.P.M.E.L.H.K,apmelhk,13/03/2000,5,Wenceslau Guimarães,BA,20862,-13.6908,-39.4762,166KM,168KM,132KM,196KM
A.P.M.E.M.A.S,apmemas,13/03/2000,5,Wenceslau Guimarães,BA,20862,-13.6908,-39.4762,166KM,168KM,132KM,196KM
A.P.M.E.S.L,apmesl,13/03/2000,5,Wenceslau Guimarães,BA,20862,-13.6908,-39.4762,166KM,168KM,132KM,196KM
A.P.R.T.,aprt,09/05/2000,5,Mucuri,BA,42729,-18.0754,-39.5565,612KM,649KM,579KM,383KM
A.R. MULTI SERVICOS,ar-multi-servicos,09/05/2003,1,Feira de Santana,BA,624107,-12.2664,-38.9663,84KM,0KM,93KM,352KM
A.P.P.M.E.U,appmeu,13/03/2000,5,Wenceslau Guimarães,BA,20862,-13.6908,-39.4762,166KM,168KM,132KM,196KM
A.P.M,apm,20/06/1997,5,Itabela,BA,30901,-16.5732,-39.5593,451KM,483KM,417KM,235KM
A.P DE OLIVEIRA,ap-de-oliveira,30/01/2008,1,Luís Eduardo Magalhães,BA,92671,-12.0956,-45.7866,812KM,741KM,795KM,614KM
A.R.W . PECAS,arw-pecas,17/05/2006,3,Valente,BA,29111,-11.4062,-39.457,189KM,110KM,203KM,412KM
A.S.G.,asg,20/09/2000,5,Santo Antônio de Jesus,BA,103204,-12.9614,-39.2584,105KM,84KM,82KM,271KM
A.R.C.A,arca,01/09/1997,5,Buerarema,BA,18269,-14.9595,-39.3028,273KM,302KM,237KM,166KM
A.R.A,ara,04/11/1999,5,Remanso,BA,41324,-9.61944,-42.0848,533KM,449KM,538KM,598KM
A.T.R.T.B,atrtb,29/12/2004,5,Bonito,BA,16999,-11.9668,-41.2647,329KM,252KM,320KM,325KM
A&C INSTALACOES E COMERCIO LTDA,ac-instalacoes-e-comercio-ltda,17/06/2010,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
A&C INFORTECH,ac-infortech,30/09/2011,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
A.T.C.,atc,15/12/1997,5,Central,BA,17293,-11.1376,-42.1116,446KM,364KM,441KM,436KM
A+ MEDICINA DIAGNOSTICA,a-medicina-diagnostica,27/08/2009,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
A&FF MERCADINHO,aff-mercadinho,07/07/2011,1,Santo Amaro,BA,60190,-12.5472,-38.7137,45KM,42KM,53KM,344KM
A4 AGRICOLA E PECUARIA,a4-agricola-e-pecuaria,14/01/2011,5,Teixeira de Freitas,BA,164290,-17.5399,-39.74,560KM,592KM,525KM,321KM
A4 AGRICOLA E PECUARIA,a4-agricola-e-pecuaria,14/01/2011,5,Guaratinga,BA,20565,-16.5833,-39.7847,460KM,488KM,425KM,223KM
A4 AGRICOLA E PECUARIA,a4-agricola-e-pecuaria,14/01/2011,5,Guaratinga,BA,20565,-16.5833,-39.7847,460KM,488KM,425KM,223KM
A3 ESTAGIO,a3-estagio,08/09/2006,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
A2 CORRETORA DE SEGUROS,a2-corretora-de-seguros,11/03/2011,1,Alagoinhas,BA,153023,-12.1335,-38.4208,64KM,61KM,94KM,400KM
AA LAGOA DA VACA,aa-lagoa-da-vaca,07/02/2001,5,Paripiranga,BA,29124,-10.6859,-37.8626,229KM,213KM,263KM,564KM
A5 ENTRETENIMENTO,a5-entretenimento,25/01/2005,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
AABB,aabb,05/04/1977,5,Brumado,BA,67468,-14.2021,-41.6696,399KM,364KM,370KM,115KM
AABB,aabb,17/11/1977,5,Itanhém,BA,19231,-17.1642,-40.3321,542KM,564KM,507KM,262KM
AABANEB,aabaneb,18/04/1977,5,Ilhéus,BA,157639,-14.793,-39.046,246KM,281KM,211KM,193KM
AABB,aabb,30/05/1972,5,Itabuna,BA,214123,-14.7876,-39.2781,254KM,282KM,219KM,169KM
AABB,aabb,28/06/1971,5,Serrinha,BA,81693,-11.6584,-39.01,137KM,68KM,156KM,407KM
AABB,aabb,04/09/1978,5,Miguel Calmon,BA,25771,-11.4299,-40.6031,284KM,201KM,285KM,382KM
AABB,aabb,27/03/1969,5,Senhor do Bonfim,BA,79813,-10.4594,-40.1865,321KM,241KM,334KM,495KM
AABB,aabb,23/11/1979,5,Condeúba,BA,17113,-14.9022,-41.9718,465KM,439KM,433KM,121KM
AABB,aabb,19/12/1980,5,Belmonte,BA,23540,-15.8608,-38.8758,357KM,400KM,324KM,239KM
AABBI,aabbi,13/05/2003,5,Ipiaú,BA,45969,-14.1226,-39.7353,220KM,223KM,185KM,145KM
AABB,aabb,10/07/1980,5,Ibirataia,BA,14476,-14.0643,-39.6459,209KM,213KM,174KM,156KM
AABB,aabb,12/04/1978,5,Ubaitaba,BA,18647,-14.303,-39.3222,208KM,230KM,173KM,175KM
AACP,aacp,27/03/2006,5,América Dourada,BA,16086,-11.4429,-41.439,365KM,284KM,361KM,385KM
AACMC,aacmc,16/07/1999,5,Candeias,BA,87820,-12.6716,-38.5472,24KM,64KM,34KM,347KM
AACOSNOT,aacosnot,03/02/1999,5,Novo Triunfo,BA,15445,-10.3182,-38.4014,265KM,225KM,295KM,569KM
AACOSA,aacosa,06/04/2000,5,Adustina,BA,17209,-10.5437,-38.1113,241KM,213KM,273KM,563KM
AACACEMN,aacacemn,31/03/2000,5,Medeiros Neto,BA,22741,-17.3707,-40.2238,559KM,584KM,524KM,287KM
AACSI,aacsi,04/10/2001,5,Itapetinga,BA,77408,-15.2475,-40.2482,352KM,360KM,316KM,77KM
AACSJ,aacsj,03/04/2003,5,Jandaíra,BA,10742,-11.5616,-37.7853,139KM,150KM,175KM,493KM
AACG,aacg,28/06/2010,5,Caldeirão Grande,BA,13452,-11.0208,-40.2956,284KM,200KM,291KM,431KM
AACSMO,aacsmo,23/01/1998,5,Ourolândia,BA,17567,-10.9578,-41.0756,356KM,271KM,358KM,435KM
AAFCC,aafcc,08/08/2011,5,Camacan,BA,32023,-15.4142,-39.4919,327KM,355KM,292KM,158KM
AAFAM-CAATINGA,aafam-caatinga,13/05/2014,5,Juazeiro,BA,219544,-9.41622,-40.5033,435KM,358KM,451KM,607KM
AACSN,aacsn,15/01/1999,5,Nordestina,BA,13197,-10.8192,-39.4297,241KM,169KM,260KM,475KM
AAPG- ASSOCIACAO,aapg-associacao,19/08/2005,5,Glória,BA,15247,-9.34382,-38.2544,373KM,334KM,404KM,674KM
AASCEI,aascei,21/02/2001,5,Itiúba,BA,36140,-10.6948,-39.8446,277KM,199KM,292KM,476KM
AAMFLM,aamflm,18/11/2009,5,Canudos,BA,16832,-9.90014,-39.1471,324KM,264KM,349KM,581KM
AAPCMBA,aapcmba,17/08/1998,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
AALC,aalc,18/08/2004,5,Caetité,BA,51184,-14.0684,-42.4861,476KM,432KM,449KM,197KM
AAQALNA,aaqalna,23/11/2005,5,Campo Formoso,BA,71754,-10.5105,-40.32,326KM,244KM,337KM,487KM
AAFI,aafi,03/05/2010,5,Itaberaba,BA,64795,-12.5242,-40.3059,216KM,148KM,202KM,266KM
ABAETE DROGARIA E COSMETICOS,abaete-drogaria-e-cosmeticos,14/05/2010,3,Poções,BA,46885,-14.5234,-40.3634,300KM,293KM,266KM,64KM
ABABAS,ababas,07/04/1987,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
AATICA,aatica,31/08/1989,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
ABA TRANSFORMERSS,aba-transformerss,15/06/2011,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
AB2,ab2,21/03/2007,1,Alagoinhas,BA,153023,-12.1335,-38.4208,64KM,61KM,94KM,400KM
ABAM,abam,08/05/1998,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
ABAPEQ,abapeq,28/11/1988,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
ABACAFE,abacafe,24/10/2006,5,Luís Eduardo Magalhães,BA,92671,-12.0956,-45.7866,812KM,741KM,795KM,614KM
ABAS,abas,10/12/2002,5,São Francisco do Conde,BA,40664,-12.6183,-38.6786,39KM,50KM,44KM,341KM
ABATEDOURO CANAA,abatedouro-canaa,21/01/2011,1,Serrinha,BA,81693,-11.6584,-39.01,137KM,68KM,156KM,407KM
ABAMU,abamu,24/04/1990,5,Barra,BA,54225,-11.0859,-43.1459,553KM,473KM,545KM,487KM
ABASE,abase,29/06/1973,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
ABARA E CIA DA ROSE,abara-e-cia-da-rose,28/11/2011,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
ABATEDOURO ANTONIO FRAGA,abatedouro-antonio-fraga,08/10/1998,1,Santo Antônio de Jesus,BA,103204,-12.9614,-39.2584,105KM,84KM,82KM,271KM
ABATEDOURO DO POVO,abatedouro-do-povo,22/12/2004,1,Belmonte,BA,23540,-15.8608,-38.8758,357KM,400KM,324KM,239KM
ABATEDOURO DE AVES COSTA,abatedouro-de-aves-costa,18/05/2012,1,Rio Real,BA,41209,-11.4814,-37.9332,142KM,142KM,177KM,489KM
