nome_fantasia,slug,inicio_atividades,porte_empresa,nome_cidade,sigla_uf,populacao_cidade,latitude_cidade,longitude_cidade,dist_1,dist_2,dist_3,dist_4
COMPET PESQUISAS MARKETING TREINAMENTOS,compet-pesquisas-marketing-treinamentos,12/03/2007,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
COMPASA COMERCIAL DE COSMETICOS LTDA,compasa-comercial-de-cosmeticos-ltda,16/12/1996,3,Vitória da Conquista,BA,343643,-14.8615,-40.8442,364KM,353KM,330KM,0KM
COMPRA CERTA MAGAZINE,compra-certa-magazine,07/05/2004,1,Itabuna,BA,214123,-14.7876,-39.2781,254KM,282KM,219KM,169KM
COMPROU LEVOU,comprou-levou,03/04/1992,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
COMPRECELL & ACESSORIOS,comprecell-acessorios,01/11/2011,1,Teolândia,BA,15097,-13.5896,-39.484,160KM,158KM,127KM,203KM
COMPERACO TRANSPORTES E TERRAPLENAGEM,comperaco-transportes-e-terraplenagem,06/01/1999,3,Luís Eduardo Magalhães,BA,92671,-12.0956,-45.7866,812KM,741KM,795KM,614KM
COMPROVE CONSULTORIA,comprove-consultoria,14/10/2004,3,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
COMPROVE,comprove,18/06/2001,3,Jequié,BA,156277,-13.8509,-40.0877,230KM,214KM,198KM,139KM
COMPUCELL TELEINFORMATICA,compucell-teleinformatica,16/02/2001,1,Vitória da Conquista,BA,343643,-14.8615,-40.8442,364KM,353KM,330KM,0KM
COMSERTA,comserta,20/12/2010,3,Feira de Santana,BA,624107,-12.2664,-38.9663,84KM,0KM,93KM,352KM
COMSERGRAFICA,comsergrafica,09/06/2011,1,Itabuna,BA,214123,-14.7876,-39.2781,254KM,282KM,219KM,169KM
COMSERV,comserv,10/12/1991,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
COMUNICACAO INTEGRADA,comunicacao-integrada,15/03/2006,1,Ilhéus,BA,157639,-14.793,-39.046,246KM,281KM,211KM,193KM
COMTINTAS,comtintas,19/05/2000,1,Vitória da Conquista,BA,343643,-14.8615,-40.8442,364KM,353KM,330KM,0KM
COMPRAL COMERCIAL DE PRODUTOS AGRICOLAS ALVES,compral-comercial-de-produtos-agricolas-alves,12/04/1995,5,Juazeiro,BA,219544,-9.41622,-40.5033,435KM,358KM,451KM,607KM
COMUNIDADE EVANGELICA DA RESTITUICAO - CER,comunidade-evangelica-da-restituicao-cer,30/05/2011,5,Camaçari,BA,309208,-12.6996,-38.3263,0KM,85KM,36KM,362KM
COMRCIO CONTINENTAL DE ESPUMAS,comrcio-continental-de-espumas,29/04/2009,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
COMUNIDADE DOS QUILOMBOLAS VILA N. SENHORA APARECIDA II,comunidade-dos-quilombolas-vila-n-senhora-aparecida-ii,11/09/2000,5,Remanso,BA,41324,-9.61944,-42.0848,533KM,449KM,538KM,598KM
COMUNIDADE LEVANTA-TE,comunidade-levanta-te,23/11/2006,5,Teixeira de Freitas,BA,164290,-17.5399,-39.74,560KM,592KM,525KM,321KM
COMUNIDADE EVANGELICA PRIMITIVA DA FAMILIA,comunidade-evangelica-primitiva-da-familia,14/02/2011,5,Vitória da Conquista,BA,343643,-14.8615,-40.8442,364KM,353KM,330KM,0KM
COMUNITUBA,comunituba,26/08/1997,5,Ilhéus,BA,157639,-14.793,-39.046,246KM,281KM,211KM,193KM
COMUTRAN,comutran,29/11/2002,5,Itapetinga,BA,77408,-15.2475,-40.2482,352KM,360KM,316KM,77KM
COMUNIDADE EVANGELICA ENCONTRO COM CRISTO,comunidade-evangelica-encontro-com-cristo,30/05/2008,5,Vitória da Conquista,BA,343643,-14.8615,-40.8442,364KM,353KM,330KM,0KM
CONAGRO,conagro,14/12/1998,5,Angical,BA,13902,-12.0063,-44.7003,696KM,624KM,680KM,522KM
CONCEITO MODA,conceito-moda,14/02/2003,1,Utinga,BA,19330,-12.0783,-41.0954,308KM,232KM,298KM,311KM
COMUNIDADE CRISTA,comunidade-crista,11/10/2007,5,Luís Eduardo Magalhães,BA,92671,-12.0956,-45.7866,812KM,741KM,795KM,614KM
CONCEITO ENSINO PROFISSIONAL DE NIVEL TECNICO LTDA,conceito-ensino-profissional-de-nivel-tecnico-ltda,04/08/2009,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONCEITO TOPOGRAFIA E AGRIMENSURA,conceito-topografia-e-agrimensura,06/12/2007,1,Valença,BA,97873,-13.3669,-39.073,110KM,123KM,76KM,253KM
CONCEITUAL,conceitual,12/09/2005,1,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
